"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"1","9959032210903338","9788664072113","2022","Reyer, Sophie","srp",": izabrane pesme","fail","Beograd","XA-RS"
"2","990056743370603392","9788467582468","2015","Brezina, Thomas","spa","¡Ah del barco fantasma!","Geisterschiff ahoi!","Boadilla del Monte (Madrid)","XA-ES"
"3","990037600490603392","9788483430873","2010","Nöstlinger, Christine","spa","¡Ojo! ¡Vranek parece totalmente inofensivo!","Achtung! Vranek sieht ganz harmlos aus","[Barcelona]","XA-ES"
"4","990044392180603392","9788492649310","2010","Zweig, Stefan","spa","¿Fue él?","War er es? <<span.>>","Barcelona","XA-ES"
"5","9958505677803338","9782351281475","2018","Trakl, Georg","fre","... Et des soleils éternellement recommencés nous accomplissent","fail","Montélimar (Drôme)","XA-FR"
"6","990050244650603392","9783743109292","2017","fail","rus","... Na bereg ticho vybralas' lubov' ...","fail","Norderstedt","XA-DE-SH"
"7","990049796920603392","9787115422934","2016","Brezina, Thomas","chi","""Gui wu"" si wang gong shi","<<Das>> Geheimnis der grauen Villa","Bei jing","XB-CN"
"8","9958507277703338","9787115476067","2018","Brezina, Thomas","chi","""Gui"" zhao pian","<<Das>> unheimliche Foto","Bei jing","XB-CN"
"9","990037624500603392","9788087053492","2010","Aichinger, Ilse","cze","(Vrabec v hrsti)","fail","Příbram","XA-CZ"
"10","9958562479203338","9789187393525","2018","Haushofer, Marlen","swe","18 noveller","fail","Lund","XA-SE"
"11","9958545361903338","9788075114228","2018","Brendel, Alfred","cze","2 x 2 = 13","fail","Praha","XA-CZ"
"12","9958805474003338","9789639869653","2019","Weninger, Brigitte","hun","24 karácsonyi mese","Geschichten aus dem Weihnachtswald","[Budapest]","XA-HU"
"13","990038944870603392","9780670919994","2010","Kampusch, Natascha","eng","3,096 days","3096 Tage","London","fail"
"14","9958584371503338","9782757876398","2019","Rilke, Rainer Maria","fre","365 jours avec Rainer Maria Rilke","fail","Paris","XA-FR"
"15","990050314250603392","9789660376731","2017","Werfel, Franz","ukr","40 dniv Musa-Daga","<<Die>> vierzig Tage des Musa Dagh","Charkiv","XA-UA"
"16","990047420810603392","9782226314819","2015","Werfel, Franz","fre","Les 40 jours du Musa Dagh","<<Die>> vierzig Tage des Musa Dagh","Paris","XA-FR"
"17","990055739930603392","9788365830234","2017","Gruber, Andreas","pol","48","Todesfrist","Słupsk","XA-PL"
"18","990049978630603392","9782352879046","2016","Gruber, Andreas","fre","48 heures pour mourir","Todesfrist","Paris","XA-FR"
"19","9958499269703338","9786053439554","2016","Gruber, Andreas","tur","48 saat","Todesfrist","İstanbul","XB-TR"
"20","990043058070603392","9783423760638","2012","Ibbotson, Eva","ger","5 Hunde im Gepäck","One dog and his boy","München","XA-DE"
"21","990047507710603392","9784151806513","2014","Poznanski, Ursula","jpn","5 no gēmu","Fünf","Tōkyō","XB-JP"
"22","990051186230603392","9786059702065","2016","Poznanski, Ursula","tur","5","Fünf","İstanbul","XB-TR"
"23","990043331100603392","9783423760829","2013","Ibbotson, Eva","ger","5 Yetis suchen ein Zuhause","<<The>> Abominables","München","XA-DE"
"24","9958524775303338","9782081429406","2018","Franzobel","fre","A ce point de folie","<<Das>> Floß der Medusa","Paris :","XA-FR"
"25","9959003603303338","9788412143058","2020","Kafka, Franz","cat","A la colònia penitenciària","In der Strafkolonie","Girona","XA-ES"
"26","990050077420603392","9782914437288","2013","Altenberg, Peter","fre","À mots couverts, à demi-mot, au bas mot","fail","Clichy-la-Garenne","XA-FR"
"27","9958540761303338","9788075800138","2018","Luhn, Usch","cze","A princeznin kůň","<<Das>> Pferd der Prinzessin","[Praha]","XA-CZ"
"28","9959014408203338","9788076900264","2022","Mayröcker, Friederike","cze","A zatřásla jsem miláč kem","Und ich schüttelte einen Liebling","Praha","XA-CZ"
"29","9958808172603338","9789493186217","2020","Lavant, Christine","dut","Aantekeningen uit het gesticht","Aufzeichnungen aus einem Irrenhaus","[Bleiswijk]","XA-NL"
"30","990038777400603392","9780983884200","2012","Kafka, Franz","eng","Abandoned fragments","Nachgelassene Schriften und Fragmente I","[Chicago, Ill. u.a.]","XD-US"
"31","990046355320603392","9783868201772","2013","Hašek, Jaroslav","ger","Die Abenteuer des braven Soldaten Schwejk","Osudy dobrého vojáka Švejka za světové války","Hamburg","XA-DE"
"32","990044607630603392","9783150109694","2014","Hašek, Jaroslav","ger","Die Abenteuer des guten Soldaten Švejk im Weltkrieg","Osudy dobrého vojáka Švejka za světové války","Stuttgart","XA-DE"
"33","990050325470603392","9788416011421","2015","Roth, Joseph","spa","Abril","April","Barcelona","XA-ES"
"34","9958837255203338","9782070720521","2020","Handke, Peter","fre","L' absence","<<Die>> Abwesenheit","Paris","XA-FR"
"35","9958820973803338","9780374527631","2019","Handke, Peter","eng","Absence","<<Die>> Abwesenheit","New York","XD-US"
"36","990049215850603392","9789056725518","2016","Meyerhoff, Joachim","dut","Ach, deze leegte, deze verschrikkelijke leegte","Ach, diese Lücke, diese entsetzliche Lücke","Amsterdam","XA-NL"
"37","9958826774303338","9780374527648","2019","Handke, Peter","eng","Across","<<Der>> Chinese des Schmerzes","New York","XD-US"
"38","990050853130603392","9788872231661","2011","fail","ita","Ad alta voce","fail","Merano","XA-IT"
"39","990038040680603392","9789928117021","2011","Pellert, Wilhelm","alb","Ada dhe gjyshja në Togo","Ada und Oma in Togo","[Lushnjë]","XA-AL"
"40","9958601175603338","9788090273856","2019","Becher, Peter","cze","Adalbert Stifter","Adalbert Stifter - Sehnsucht nach Harmonie, eine Biografie","Horní Planá","XA-CZ"
"41","9958911228103338","9791024017075","2021","Zweig, Stefan","fre","Adam Lux","Adam Lux - zehn Bilder aus dem Leben eines deutschen Revolutionärs","Mont-Saint-Aignan","XA-FR"
