"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"1","9959032210903338","9788664072113","2022","Reyer, Sophie","srp",": izabrane pesme","fail","Beograd","XA-RS"
"2","990056743370603392","9788467582468","2015","Brezina, Thomas","spa","¡Ah del barco fantasma!","Geisterschiff ahoi!","Boadilla del Monte (Madrid)","XA-ES"
"3","990037600490603392","9788483430873","2010","Nöstlinger, Christine","spa","¡Ojo! ¡Vranek parece totalmente inofensivo!","Achtung! Vranek sieht ganz harmlos aus","[Barcelona]","XA-ES"
"5","9958505677803338","9782351281475","2018","Trakl, Georg","fre","... Et des soleils éternellement recommencés nous accomplissent","fail","Montélimar (Drôme)","XA-FR"
"7","990049796920603392","9787115422934","2016","Brezina, Thomas","chi","""Gui wu"" si wang gong shi","<<Das>> Geheimnis der grauen Villa","Bei jing","XB-CN"
"8","9958507277703338","9787115476067","2018","Brezina, Thomas","chi","""Gui"" zhao pian","<<Das>> unheimliche Foto","Bei jing","XB-CN"
"12","9958805474003338","9789639869653","2019","Weninger, Brigitte","hun","24 karácsonyi mese","Geschichten aus dem Weihnachtswald","[Budapest]","XA-HU"
"13","990038944870603392","9780670919994","2010","Kampusch, Natascha","eng","3,096 days","3096 Tage","London","fail"
"14","9958584371503338","9782757876398","2019","Rilke, Rainer Maria","fre","365 jours avec Rainer Maria Rilke","fail","Paris","XA-FR"
"15","990050314250603392","9789660376731","2017","Werfel, Franz","ukr","40 dniv Musa-Daga","<<Die>> vierzig Tage des Musa Dagh","Charkiv","XA-UA"
"17","990055739930603392","9788365830234","2017","Gruber, Andreas","pol","48","Todesfrist","Słupsk","XA-PL"
"20","990043058070603392","9783423760638","2012","Ibbotson, Eva","ger","5 Hunde im Gepäck","One dog and his boy","München","XA-DE"
"23","990043331100603392","9783423760829","2013","Ibbotson, Eva","ger","5 Yetis suchen ein Zuhause","<<The>> Abominables","München","XA-DE"
"24","9958524775303338","9782081429406","2018","Franzobel","fre","A ce point de folie","<<Das>> Floß der Medusa","Paris :","XA-FR"
"27","9958540761303338","9788075800138","2018","Luhn, Usch","cze","A princeznin kůň","<<Das>> Pferd der Prinzessin","[Praha]","XA-CZ"
"31","990046355320603392","9783868201772","2013","Hašek, Jaroslav","ger","Die Abenteuer des braven Soldaten Schwejk","Osudy dobrého vojáka Švejka za světové války","Hamburg","XA-DE"
"32","990044607630603392","9783150109694","2014","Hašek, Jaroslav","ger","Die Abenteuer des guten Soldaten Švejk im Weltkrieg","Osudy dobrého vojáka Švejka za světové války","Stuttgart","XA-DE"
"39","990038040680603392","9789928117021","2011","Pellert, Wilhelm","alb","Ada dhe gjyshja në Togo","Ada und Oma in Togo","[Lushnjë]","XA-AL"
"40","9958601175603338","9788090273856","2019","Becher, Peter","cze","Adalbert Stifter","Adalbert Stifter - Sehnsucht nach Harmonie, eine Biografie","Horní Planá","XA-CZ"
"41","9958911228103338","9791024017075","2021","Zweig, Stefan","fre","Adam Lux","Adam Lux - zehn Bilder aus dem Leben eines deutschen Revolutionärs","Mont-Saint-Aignan","XA-FR"
"42","990038567160603392","9783941184077","2011","Peroutka, Ferdinand","ger","Adieu, Jeanne oder Die zweite Chance der Jungfrau","Pozdější život Panny","Berlin","XA-DE"
"55","990048048820603392","9787539770703","2014","Nöstlinger, Christine","chi","Ai ge zi xian sheng","<<Der>> kleine Herr greift ein","He fei","XB-CN"
"57","990039047090603392","9789928117076","2012","Pellert, Wilhelm","alb","Ajana dhe goli i artë","Ayana und das goldene Tor","[Lushnjë]","XA-AL"
"61","9958517980303338","9783462049190","2018","Black, Benjamin","ger","Alchimie einer Mordnacht","Prague nights","Köln","XA-DE-NW"
"62","9958952308303338","9786082479699","2022","Jelinek, Elfriede","mac","Alčnost","Gier","Skopje","XA-MK"
"63","990048055880603392","9788492574865","2012","Bernhard, Thomas","cat","L' alè","<<Der>> Atem","Pollença, Mallorca","XA-ES"
"64","9958821171803338","9786192310455","2021","Zuchna, Christian","bul","Aleksis Cakas","<<Der>> Arzt und der Krieg","Sofija","XA-BG"
"65","990050302640603392","9789944717434","2017","Nöstlinger, Christine","tur","Alev saçlı çocuk","<<Die>> feuerrote Friederike","İstanbul","XB-TR"
"66","9958582474103338","9788681168035","2018","Said, Kurban","srp","Ali i Nino","Ali und Nino","Beograd","XA-RS"
"67","9958582474303338","9788681168004","2017","Said, Kurban","srp","Ali i Nino","Ali und Nino","Beograd","XA-RS"
"68","9958541554003338","9788328045262","2017","Essad","pol","Ali i Nino","Ali und Nino","Warszawa","XA-PL"
"69","9958505274403338","9782844146700","2018","Mahler, Nicolas","fre","Alice dans le Sussex","Alice in Sussex","Paris","XA-FR"
"71","990027336510603392","9783898127011","2010","Rouquette, Max","ger","All der Sand am Meer","Tota la sabla de la mar","Halle (Saale)","XA-DE"
"72","9958586470103338","9781784102241","2018","Schlag, Evelyn","eng","All under one roof","fail","Manchester","XA-GB"
"76","9958887423503338","9783737342568","2022","Kessler, Liz","ger","Als die Welt uns gehörte","When the world was ours","Frankfurt am Main","XA-DE-HE"
"78","9958945399603338","9783498070700","2020","Villazón, Rolando","ger","Amadeus auf dem Fahrrad","fail","Hamburg","XA-DE-HH"
"79","9958513788003338","9788771412369","2013","Bansch, Helga","dan","Amalie og fisken","Amelie und der Fisch","[Århus]","XA-DK"
"82","9958926113103338","9786192620059","2022","Handke, Peter","bul","Ambulantnijat tărgovec","<<Der>> Hausierer","Sofija","XA-BG"
"83","9958513787903338","9789051163148 (geb.)","2013","Bansch, Helga ","dut","Amelie en haar vis","Amelie und der Fisch","Rijswijk","XA-NL"
"84","990047584010603392","9782362661181","2015","Bansch, Helga","fre","Amélie et le poisson","Amelie und der Fisch","Saint-Mandé","XA-FR"
