"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq"
"1","Adler, H. G.",2,2,7,5,3,2
"2","Adler, Hans",1,1,1,1,1,1
"3","Aichinger, Ilse",8,6,28,16,11,8
"4","Aichner, Bernhard",20,12,22,12,21,12
"5","Altenberg, Peter",4,4,10,6,5,5
"6","Améry, Jean",3,2,4,2,7,4
"7","Anders, Günther",2,1,3,2,2,1
"8","Arenz, Ewald",1,1,8,6,1,1
"9","Arnautović, Ljuba",1,1,2,2,1,1
"10","Augustin, Anita",1,1,1,1,1,1
"11","Ausländer, Rose",8,6,28,13,12,9
"12","Axster, Lilly",1,1,1,1,1,1
"13","Bachmann, Ingeborg",38,20,118,33,46,22
"14","Bäcker, Heimrad",1,1,1,1,1,1
"15","Baldini, Laura",7,7,14,11,8,8
"16","Bankhofer, Hademar",1,1,2,2,1,1
"17","Baronsky, Eva",8,8,10,8,8,8
"18","Barylli, Gabriel",1,1,2,2,1,1
"19","Becker, Zdenka",3,2,4,3,3,2
"20","Beer, Alex",2,2,7,4,2,2
"21","Berger, Herbert",1,1,2,2,2,2
"22","Bernard, Caroline",1,1,25,14,1,1
"23","Bernhard, Thomas",160,30,464,37,227,32
"24","Bettauer, Hugo",1,1,4,3,2,2
"25","Brandstetter, Alois",1,1,2,2,1,1
"26","Brem, Ilse",2,2,2,2,2,2
"27","Brendel, Alfred",3,3,8,5,5,4
"28","Brezina, Thomas",1,1,2,2,359,16
"29","Breznik, Melitta",1,1,5,4,2,2
"30","Broch, Hermann",16,12,70,20,22,16
"31","Bruckner, Ferdinand",1,1,5,4,2,1
"32","Busch, Wilhelm",1,1,68,29,1,1
"33","Canetti, Elias",16,10,65,27,46,20
"34","Canetti, Veza",1,1,16,9,2,2
"35","Cejpek, Lucas",1,1,1,1,1,1
"36","Celan, Paul",44,22,126,30,57,27
"37","Chobot, Manfred",1,1,2,2,2,2
"38","Cristen, Gabriele Marie",2,2,4,3,2,2
"39","Crüwell, G. A.",1,1,1,1,1,1
"40","Dempf, Peter",1,1,19,8,1,1
"41","Dinev, Dimitré",2,2,5,3,5,3
"42","Doderer, Heimito ",11,8,NA,NA,13,10
"43","Doehnert, Rodica",1,1,6,6,2,2
"44","Dor, Milo",1,1,3,3,2,2
"45","EbnerEschenbach, Marie ",3,2,NA,NA,3,2
"46","Edelbauer, Raphaela",2,2,3,3,3,3
"47","Eich, Günter",2,2,10,8,2,2
"48","Eichendorff, Joseph ",1,1,NA,NA,1,1
"49","Elsberg, Marc",8,4,18,9,12,5
"50","Ephrussi, Elisabeth ",1,1,NA,NA,1,1
"51","Erdheim, Claudia",2,1,4,2,2,1
"52","Fallwickl, Mareike",1,1,2,1,1,1
"53","Faro, Marlene",1,1,1,1,1,1
"54","Ferk, Janko",1,1,4,3,3,3
"55","Flašar, Milena Michiko",13,13,16,13,15,14
