"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq","standard_res_2"
"1","Adler, H. G.",2,2,7,5,3,2,-0.108412999100975
"2","Adler, Hans",1,1,1,1,1,1,-0.172622575295112
"3","Aichinger, Ilse",8,6,28,16,11,8,0.0875888246837899
"4","Aichner, Bernhard",20,12,22,12,21,12,-0.320893926314442
"5","Altenberg, Peter",4,4,10,6,5,5,-0.105001132047069
"6","Améry, Jean",3,2,4,2,7,4,-0.283958181716528
"7","Anders, Günther",2,1,3,2,2,1,-0.160781898934925
"8","Arenz, Ewald",1,1,8,6,1,1,-0.0307639369703599
"9","Arnautović, Ljuba",1,1,2,2,1,1,-0.152357055534463
"10","Augustin, Anita",1,1,1,1,1,1,-0.172622575295147
"11","Ausländer, Rose",8,6,28,13,12,9,0.0588987549303375
"12","Axster, Lilly",1,1,1,1,1,1,-0.172622575295147
"13","Bachmann, Ingeborg",38,20,118,33,46,22,0.907944993392668
"14","Bäcker, Heimrad",1,1,1,1,1,1,-0.172622575295147
"15","Baldini, Laura",7,7,14,11,8,8,-0.110016725796822
"16","Bankhofer, Hademar",1,1,2,2,1,1,-0.152357055534463
"17","Baronsky, Eva",8,8,10,8,8,8,-0.191068041997858
"18","Barylli, Gabriel",1,1,2,2,1,1,-0.152357055534463
"19","Becker, Zdenka",3,2,4,3,3,2,-0.169206655526776
"20","Beer, Alex",2,2,7,4,2,2,-0.0797218346973927
"21","Berger, Herbert",1,1,2,2,2,2,-0.181046914994308
"22","Bernard, Caroline",1,1,25,14,1,1,0.313749898961267
"23","Bernhard, Thomas",160,30,464,37,227,32,2.8546475539389
"24","Bettauer, Hugo",1,1,4,3,2,2,-0.140516882875542
"25","Brandstetter, Alois",1,1,2,2,1,1,-0.152357055534463
"26","Brem, Ilse",2,2,2,2,2,2,-0.181046914994308
"27","Brendel, Alfred",3,3,8,5,5,4,-0.14552861930008
"28","Brezina, Thomas",1,1,2,2,359,16,-11.9027753251655
"29","Breznik, Melitta",1,1,5,4,2,2,-0.120251866816159
"30","Broch, Hermann",16,12,70,20,22,16,0.623048177067846
"31","Bruckner, Ferdinand",1,1,5,4,2,1,-0.120251866816159
"32","Busch, Wilhelm",1,1,68,29,1,1,1.18516724867068
"33","Canetti, Elias",16,10,65,27,46,20,-0.16701306826826
"34","Canetti, Veza",1,1,16,9,2,2,0.102663309837054
"35","Cejpek, Lucas",1,1,1,1,1,1,-0.172622575295147
"36","Celan, Paul",44,22,126,30,57,27,0.754913922682721
"37","Chobot, Manfred",1,1,2,2,2,2,-0.181046914994308
"38","Cristen, Gabriele Marie",2,2,4,3,2,2,-0.140516882875542
"39","Crüwell, G. A.",1,1,1,1,1,1,-0.172622575295147
"40","Dempf, Peter",1,1,19,8,1,1,0.192156780397163
"41","Dinev, Dimitré",2,2,5,3,5,3,-0.206319850179598
"42","Doderer, Heimito ",11,8,NA,NA,13,10,-0.537129744478622
"43","Doehnert, Rodica",1,1,6,6,2,2,-0.0999868507567757
"44","Dor, Milo",1,1,3,3,2,2,-0.160781898934925
"45","EbnerEschenbach, Marie ",3,2,NA,NA,3,2,-0.250264864094501
"46","Edelbauer, Raphaela",2,2,3,3,3,3,-0.189471207668707
"47","Eich, Günter",2,2,10,8,2,2,-0.0189267865192436
"48","Eichendorff, Joseph ",1,1,NA,NA,1,1,-0.192888095055831
"49","Elsberg, Marc",8,4,18,9,12,5,-0.143722905451249
"50","Ephrussi, Elisabeth ",1,1,NA,NA,1,1,-0.192888095055831
"51","Erdheim, Claudia",2,1,4,2,2,1,-0.140516882875542
"52","Fallwickl, Mareike",1,1,2,1,1,1,-0.152357055534463
"53","Faro, Marlene",1,1,1,1,1,1,-0.172622575295147
"54","Ferk, Janko",1,1,4,3,3,3,-0.169206655526776
