,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
0,9959032210903338,9788664072113,2022,"Reyer, Sophie",srp,ger,: izabrane pesme,fail,Beograd,XA-RS
1,990056743370603338,9788467582468,octubre de 2015,"Brezina, Thomas",spa,ger,¡Ah del barco fantasma!,Geisterschiff ahoi!,Boadilla del Monte (Madrid),XA-ES
2,990037600490603338,9788483430873,2010,"Nöstlinger, Christine",spa,ger,¡Ojo! ¡Vranek parece totalmente inofensivo!,Achtung! Vranek sieht ganz harmlos aus,[Barcelona],XA-ES
3,990044392180603338,9788492649310,2010,"Zweig, Stefan",spa,ger,¿Fue él?,War er es? <<span.>>,Barcelona,XA-ES
5,9958505677803338,9782351281475,[2018],"Trakl, Georg",fre,ger,... Et des soleils éternellement recommencés nous accomplissent,fail,Montélimar (Drôme),XA-FR
6,990050244650603338,9783743109292,[2017],fail,rus,ger,... Na bereg ticho vybralas' lubov' ...,fail,Norderstedt,XA-DE-SH
18,990049796920603338,9787115422934,2016 nian 7 yue,"Brezina, Thomas",chi,ger,"""Gui wu"" si wang gong shi",<<Das>> Geheimnis der grauen Villa,Bei jing,XB-CN
19,9958507277703338,9787115476067,2018 nian 3 yue,"Brezina, Thomas",chi,ger,"""Gui"" zhao pian",<<Das>> unheimliche Foto,Bei jing,XB-CN
31,990037624500603338,9788087053492,2010,"Aichinger, Ilse",cze,ger,(Vrabec v hrsti),fail,Příbram,XA-CZ
38,9958562479203338,9789187393525,2018,"Haushofer, Marlen",swe,ger,18 noveller,fail,Lund,XA-SE
42,9958545361903338,9788075114228,2018,"Brendel, Alfred",cze,ger,2 x 2 = 13,fail,Praha,XA-CZ
45,9958805474003338,9789639869653,[2019],"Weninger, Brigitte",hun,ger,24 karácsonyi mese,Geschichten aus dem Weihnachtswald,[Budapest],XA-HU
47,990038944870603338,9780670919994,2010,"Kampusch, Natascha",eng,ger,"3,096 days",3096 Tage,London,fail
50,9958584371503338,9782757876398,2019,"Rilke, Rainer Maria",fre,ger,365 jours avec Rainer Maria Rilke,fail,Paris,XA-FR
52,990050314250603338,9789660376731,2017,"Werfel, Franz",ukr,ger,40 dniv Musa-Daga,<<Die>> vierzig Tage des Musa Dagh,Charkiv,XA-UA
53,990047420810603338,9782226314819,2015,"Werfel, Franz",fre,ger,<<Les>> 40 jours du Musa Dagh,<<Die>> vierzig Tage des Musa Dagh,Paris,XA-FR
56,990055739930603338,9788365830234,2017,"Gruber, Andreas",pol,ger,48,Todesfrist,Słupsk,XA-PL
57,990049978630603338,9782352879046,juillet 2016,"Gruber, Andreas",fre,ger,48 heures pour mourir,Todesfrist,Paris,XA-FR
58,9958499269703338,9786053439554,Ağustos 2016,"Gruber, Andreas",tur,ger,48 saat,Todesfrist,İstanbul,XB-TR
59,990043058070603338,9783423760638,2012,"Ibbotson, Eva",ger,eng,5 Hunde im Gepäck,One dog and his boy,München,XA-DE
60,990047507710603338,9784151806513,2014,"Poznanski, Ursula",jpn,ger,5 no gēmu,Fünf,Tōkyō,XB-JP
61,990051186230603338,9786059702065,2016,"Poznanski, Ursula",tur,ger,5,Fünf,İstanbul,XB-TR
62,990043331100603338,9783423760829,2013,"Ibbotson, Eva",ger,eng,5 Yetis suchen ein Zuhause,<<The>> Abominables,München,XA-DE
71,9958524775303338,9782081429406,2018,Franzobel,fre,ger,A ce point de folie,<<Das>> Floß der Medusa,Paris :,XA-FR
73,9959003603303338,9788412143058,desembre del 2020,"Kafka, Franz",cat,ger,A la colònia penitenciària,In der Strafkolonie,Girona,XA-ES
74,990050077420603338,9782914437288,[2013],"Altenberg, Peter",fre,ger,"À mots couverts, à demi-mot, au bas mot",fail,Clichy-la-Garenne,XA-FR
76,9958540761303338,9788075800138,[2018],"Luhn, Usch",cze,ger,A princeznin kůň,<<Das>> Pferd der Prinzessin,[Praha],XA-CZ
80,9959014408203338,9788076900264,2022,"Mayröcker, Friederike",cze,ger,A zatřásla jsem miláč kem,Und ich schüttelte einen Liebling,Praha,XA-CZ
81,9958808172603338,9789493186217,in de zomer van 2020,"Lavant, Christine",dut,ger,Aantekeningen uit het gesticht,Aufzeichnungen aus einem Irrenhaus,[Bleiswijk],XA-NL
85,990038777400603338,9780983884200,2012,"Kafka, Franz",eng,ger,Abandoned fragments,Nachgelassene Schriften und Fragmente I,"[Chicago, Ill. u.a.]",XD-US
95,990046355320603338,9783868201772,2013,"Hašek, Jaroslav",ger,cze,<<Die>> Abenteuer des braven Soldaten Schwejk,Osudy dobrého vojáka Švejka za světové války,Hamburg,XA-DE
